#Gene_name	LTL331_pre_Cx (bio1)	LTL331_pre_Cx (bio2)	LTL331_Cx_8wk	LTL331_Cx_12wk	LTL331_Cx_relapsed_NEPC (bio1)	LTL331_Cx_relapsed_NEPC (bio2)
TMEM262	244 	175 	249 	288 	205 	289 
FOSB	139 	224 	264 	250 	121 	186 
SPAG9	3199 	9443 	8008 	8676 	9622 	9169 
C8orf17	11 	33 	27 	30 	67 	79 
ALG11	306 	704 	645 	694 	524 	625 
UBE2W	3233 	3613 	4159 	4700 	2991 	3069 
GGA3	4225 	5968 	6327 	6997 	5644 	5658 
MINK1	7668 	10713 	12408 	12619 	13453 	11681 
PRIMPOL	852 	814 	1159 	1144 	1744 	1156 
RFC1	4529 	6251 	7032 	7402 	6111 	6259 
AJAP1	25 	14 	52 	27 	3815 	4893 
TRO	17 	49 	44 	45 	130 	124 
TBC1D9	2936 	4690 	6845 	5238 	1317 	2296 
SPTBN2	15693 	24932 	30128 	27909 	76425 	68938 
COPG2	375 	649 	713 	703 	669 	695 
MANEA-AS1	138 	120 	180 	177 	170 	146 
AP4B1	853 	774 	1183 	1118 	1277 	1602 
TAF4B	85 	467 	231 	380 	261 	272 
CACUL1	2216 	2857 	2696 	3487 	2677 	3350 
NMNAT3	294 	281 	452 	395 	242 	218 
NASP	10128 	7899 	11621 	12391 	17833 	17862 
POU2F2	682 	188 	339 	598 	518 	597 
SARM1	1043 	2871 	2885 	2692 	1950 	2681 
IRGQ	4064 	4234 	5776 	5708 	5229 	5052 
TNRC18	18062 	31627 	37937 	34182 	16936 	19693 
FAM156A	5 	25 	23 	21 	46 	37 
POFUT2	2772 	2833 	3304 	3856 	3375 	3130 
ACTBP13	37 	50 	54 	60 	42 	19 
PIK3R1	4186 	7833 	7551 	8270 	4174 	4424 
CYP20A1	974 	1345 	2100 	1596 	2149 	2229 
HMGB1P14	31 	26 	31 	39 	46 	35 
HCG18	3602 	4037 	5235 	5258 	5193 	3624 
CHD8	7943 	17299 	17816 	17376 	12508 	18223 
ZNF12	2628 	3599 	3991 	4287 	2959 	3738 
CDC42SE2	4442 	4763 	3594 	6338 	3857 	4820 
KLHDC4	361 	464 	518 	568 	969 	1001 
ADAM21	15 	21 	41 	25 	14 	11 
KIAA1429	3925 	7513 	6910 	7878 	7919 	9591 
RHBDF2	815 	1384 	1062 	1514 	136 	130 
KIAA1468	1862 	2674 	2943 	3125 	1422 	1300 
AARS	2761 	3982 	4608 	4646 	4055 	4376 
IRX5	233 	133 	210 	252 	204 	187 
C6orf106	6333 	8795 	8952 	10424 	6212 	7298 
TMEM234	1696 	1809 	2051 	2415 	1832 	1061 
KIAA0319L	3478 	3766 	4586 	4993 	1686 	1410 
TP53INP1	6020 	9298 	9021 	10561 	7163 	7991 
LIMK2	1470 	1464 	1924 	2023 	4421 	3697 
PSMD10P1	14 	58 	36 	50 	58 	73 
SMCR8	761 	1315 	1218 	1431 	1793 	2785 
MAN2A2	4282 	7524 	8457 	8141 	10155 	10291 
TEX14	93 	116 	179 	144 	239 	878 
DDX18P5	15 	35 	21 	34 	22 	51 
SCARA3	985 	1648 	727 	1816 	53 	89 
HLA-DPA1	1066 	927 	353 	1374 	4 	5 
TGIF2	1735 	2063 	1812 	2620 	1473 	2451 
LATS1	5670 	8935 	9389 	10074 	7467 	9734 
FLCN	1660 	1498 	1962 	2179 	1694 	1884 
ZNF84	4963 	4996 	6254 	6870 	11629 	10570 
POLR2J3	802 	839 	1247 	1132 	1397 	1047 
ENGASE	2300 	5159 	4595 	5146 	1355 	1010 
ACCS	1864 	1893 	2469 	2592 	606 	449 
BIRC6	5937 	12444 	12343 	12683 	16591 	12654 
ITCH	3745 	7197 	6542 	7550 	4014 	5351 
CRLF3	1176 	2042 	2353 	2221 	1740 	1670 
RERE	54652 	65805 	102510 	83146 	18659 	28306 
ZCCHC14	1312 	2502 	2685 	2634 	4609 	5495 
ZNF345	631 	702 	834 	921 	798 	987 
ZNF638	8372 	10481 	11683 	13018 	12478 	11178 
RASA2	1879 	2421 	2720 	2969 	2223 	1848 
ZBED1	28 	42 	53 	48 	37 	50 
C15orf62	206 	223 	329 	296 	614 	513 
ERAS	30 	19 	37 	33 	47 	38 
CHIC2	413 	564 	914 	675 	759 	899 
CEP41	1319 	1222 	1718 	1756 	6756 	4697 
WASL	5126 	6039 	6582 	7715 	4877 	5619 
CTNND1	23937 	35589 	33475 	41135 	18767 	19697 
GUF1	3106 	3489 	4170 	4558 	3604 	3205 
ZACN	103 	53 	66 	107 	33 	59 
PLEKHD1	69 	291 	331 	249 	38 	70 
SEZ6	139 	315 	347 	313 	19584 	14927 
TAS1R3	85 	97 	118 	126 	213 	206 
HSPG2	4254 	12596 	8490 	11650 	5434 	3891 
PRKAR2B	1944 	2461 	2151 	3046 	264 	108 
SREK1IP1	2364 	2141 	2628 	3116 	2197 	2735 
ZNF155	257 	339 	418 	412 	300 	440 
AGPS	2179 	2409 	2615 	3174 	4546 	4046 
ANTXR1	24952 	41390 	71405 	45901 	3796 	2770 
MITD1	914 	897 	1087 	1253 	823 	819 
GPR133	133 	183 	141 	219 	107 	151 
SLC24A4	27 	27 	192 	37 	0 	1 
CPEB3	542 	652 	770 	826 	618 	885 
FOXP4	12879 	13212 	11456 	18061 	18704 	14156 
CCDC41	1873 	2163 	2014 	2794 	1930 	1369 
SNX18P3	78 	105 	124 	127 	189 	131 
MFGE8	1839 	1784 	1964 	2509 	18974 	11245 
CLUHP3	768 	1434 	1390 	1525 	1602 	1593 
PLA2R1	84 	402 	262 	337 	4 	1 
NCSTN	5361 	7265 	8301 	8744 	4713 	5492 
EIF4G3	8001 	12207 	14408 	13998 	11546 	9349 
SLC22A20	151 	121 	196 	189 	185 	253 
PTPRT	2218 	2380 	2621 	3188 	641 	1009 
SP3	6112 	8445 	9083 	10096 	9616 	11632 
ZDHHC1	756 	666 	766 	986 	1374 	692 
ERCC6L2	1732 	2582 	3008 	2992 	3472 	4251 
TRAF3IP1	2100 	2471 	2153 	3170 	4185 	3203 
GDAP2	1424 	1781 	1774 	2224 	2535 	2349 
KLK11	77 	24 	103 	70 	1061 	1353 
CASP8AP2	2544 	3975 	4533 	4523 	8868 	8237 
ZFP2	298 	249 	396 	380 	184 	85 
COX19	1004 	945 	1126 	1352 	1153 	1483 
WFS1	2712 	4162 	3789 	4770 	2664 	2107 
RREB1	5488 	9448 	9331 	10366 	6814 	7081 
OSBPL1A	2569 	3537 	4809 	4238 	5518 	3208 
ACSL1	8842 	9874 	15658 	12991 	5096 	3842 
GPR68	295 	323 	470 	429 	215 	117 
RBPJ	8494 	9780 	11687 	12685 	13132 	12026 
SNORD109A	18 	47 	41 	45 	140 	141 
VAMP4	1353 	1515 	1836 	1991 	1288 	1241 
DENND4C	6131 	11024 	10426 	11914 	6501 	6788 
MALAT1	396665 	190783 	347007 	408074 	130574 	92429 
ZBTB12	361 	477 	667 	583 	594 	510 
DICER1-AS1	643 	530 	905 	814 	863 	641 
PIAS2	1277 	1409 	1809 	1866 	2144 	2087 
FUS	19592 	22768 	29507 	29440 	31377 	31753 
USP27X-AS1	109 	85 	136 	134 	64 	48 
OTUD3	2551 	3082 	3131 	3915 	4452 	6035 
ANKRD27	3675 	5337 	5787 	6264 	1651 	1436 
TNRC6A	8706 	10171 	11354 	13123 	9656 	11752 
PARS2	555 	584 	820 	791 	504 	456 
CTSH	5093 	3725 	6058 	6130 	409 	419 
VPS13B	5248 	10190 	11380 	10733 	14261 	9015 
SUPT6H	11986 	24438 	24917 	25324 	13469 	17646 
ZNF37A	2145 	2817 	3174 	3450 	5531 	5247 
PIM1	895 	1012 	728 	1326 	4290 	6372 
GCC2	8669 	14653 	16052 	16219 	4547 	4432 
FBXO10	494 	606 	709 	765 	714 	706 
GTF3C4	5925 	9638 	10978 	10827 	22529 	27386 
TFCP2	3965 	4451 	8294 	5856 	4126 	4428 
PI4KAP1	758 	749 	930 	1048 	4084 	2879 
CRYZL1	1148 	1140 	1512 	1592 	1403 	1600 
LIMCH1	4851 	5876 	7610 	7470 	65 	111 
MSANTD2	2679 	2280 	2928 	3453 	2690 	1942 
DYNC2H1	1688 	3444 	2731 	3575 	8312 	3255 
CD6	40 	86 	36 	88 	42 	32 
GOPC	2571 	3176 	3803 	4003 	5099 	4454 
RNASE4	248 	209 	215 	318 	2 	2 
TIRAP	731 	1141 	1249 	1305 	538 	716 
SLK	3188 	4944 	5717 	5669 	3618 	3546 
NUB1	4041 	4243 	4242 	5778 	3621 	3210 
CCDC71	767 	1272 	1488 	1422 	1185 	1414 
WDR11	2530 	4327 	4819 	4783 	2442 	2535 
ZNF142	3568 	4972 	5490 	5957 	6875 	9293 
FBP2	15 	25 	49 	28 	25 	22 
C3orf38	1588 	1247 	1510 	1978 	1226 	1451 
RASA1	3010 	4220 	4048 	5045 	2661 	2642 
FBXW12	34 	22 	35 	40 	48 	35 
LRP6	1724 	4549 	4420 	4378 	2391 	3095 
PID1	193 	255 	198 	313 	160 	223 
PCSK1N	4509 	2299 	6365 	4752 	9484 	4401 
IFT140	4334 	6199 	5679 	7355 	9083 	5207 
KIDINS220	5246 	9695 	10221 	10435 	8037 	9091 
WWTR1	1547 	2266 	2099 	2664 	63 	33 
ASTE1	500 	649 	756 	802 	526 	1042 
SPAG5-AS1	260 	487 	632 	522 	595 	616 
CTNNAL1	2743 	2398 	3736 	3592 	2162 	1782 
DSP	16489 	17272 	15890 	23595 	1233 	517 
MAT2B	2540 	2733 	3002 	3686 	1925 	1886 
ARHGEF9	1853 	2693 	3395 	3177 	10797 	6997 
C14orf39	182 	99 	217 	197 	139 	97 
GRB10	5269 	10801 	20223 	11233 	118 	44 
TBC1D14	1316 	3779 	3721 	3563 	1799 	2522 
CYP4V2	3344 	3710 	5247 	4933 	1246 	857 
FERMT1	104 	202 	151 	214 	1 	1 
MPZL3	1310 	1300 	1063 	1827 	486 	703 
TOB2	3838 	5661 	6655 	6648 	6127 	6207 
PHF3	5380 	8448 	8940 	9679 	6871 	8116 
SULT1C2	498 	1225 	685 	1206 	14 	1 
CHMP4C	1128 	1138 	1701 	1587 	557 	310 
HGFAC	179 	148 	265 	229 	1635 	320 
CAPS	5908 	2869 	4202 	6146 	871 	655 
STARD3	3288 	4031 	5147 	5125 	2798 	2612 
SOS2	3778 	4924 	6741 	6094 	4776 	3308 
DLG4	822 	1192 	1753 	1411 	2682 	2436 
PRAME	483 	1347 	1489 	1282 	194 	905 
DHX40	3662 	7689 	6663 	7952 	3671 	4392 
ZNF192P1	142 	146 	174 	202 	53 	61 
F11R	6074 	5836 	6838 	8347 	7628 	6559 
ZHX3	2977 	6621 	9692 	6726 	5605 	7204 
IL11RA	1155 	1356 	1893 	1760 	1083 	887 
SVOPL	26 	41 	64 	47 	1 	3 
SLC36A1	3969 	5997 	8375 	6988 	2583 	1663 
CHST3	513 	1553 	624 	1448 	5455 	5528 
CPZ	27 	64 	70 	64 	1 	0 
GABPB1-AS1	1224 	1154 	1572 	1667 	1165 	1679 
DEPDC5	725 	941 	1239 	1168 	2508 	2156 
TUB	783 	1976 	2106 	1935 	2139 	2430 
NBR1	9959 	22113 	21253 	22499 	6307 	6623 
COL4A6	41 	129 	107 	119 	223 	215 
RASGRP4	40 	25 	48 	46 	14 	17 
HAUS5	3684 	3578 	5501 	5096 	6047 	4202 
SNX33	2873 	4716 	4355 	5326 	8452 	3177 
VCPIP1	2733 	4954 	4723 	5394 	2809 	4320 
RC3H2	4234 	7118 	6758 	7966 	15949 	15889 
FUZ	514 	561 	782 	755 	2520 	1894 
SMG7	7542 	9880 	12974 	12228 	16164 	16678 
SEC14L1P1	93 	128 	184 	155 	74 	96 
KDM4D	123 	188 	232 	218 	191 	238 
RSPH3	2756 	3391 	2700 	4315 	2894 	2160 
ETF1P2	14 	40 	22 	38 	92 	123 
PROSER2	1282 	1346 	1192 	1845 	19 	18 
ASAP1	3258 	2930 	3691 	4345 	10523 	12405 
ZNF415	1003 	952 	1457 	1373 	675 	623 
WBP1L	2616 	2791 	2602 	3797 	888 	819 
ATL3	8382 	10238 	13691 	13076 	3734 	4476 
ACAD11	89 	176 	124 	186 	122 	188 
RNF145	7018 	8433 	5535 	10857 	4835 	6002 
TM9SF4	6671 	8045 	9979 	10342 	4490 	4919 
FEZF1-AS1	398 	511 	690 	639 	900 	678 
SYNGR1	984 	1951 	2087 	2064 	5027 	5020 
CGGBP1	8757 	9301 	9860 	12699 	15911 	14550 
RBM12B-AS1	40 	109 	74 	105 	179 	196 
PLK1S1	1188 	1486 	1716 	1881 	1753 	1184 
SLC24A1	1597 	2325 	2647 	2760 	1463 	1140 
HIATL1	3206 	3977 	4737 	5054 	3827 	3047 
THAP8	469 	373 	691 	592 	715 	466 
IGLV1-51	23 	7 	20 	21 	20 	14 
PYGL	591 	993 	1944 	1114 	7623 	2923 
SLC2A9	64 	41 	107 	74 	7 	3 
LRRFIP1P1	271 	263 	338 	377 	221 	188 
TBC1D8B	960 	1423 	1536 	1678 	214 	75 
CEP135	966 	1409 	1291 	1673 	3560 	3639 
RPL7AP60	46 	39 	77 	59 	58 	78 
GANC	662 	859 	986 	1072 	1406 	1116 
PAICSP1	27 	42 	45 	49 	93 	136 
ZXDA	356 	555 	627 	642 	369 	486 
GEMIN5	1340 	2462 	2623 	2680 	2342 	2676 
DYNC1H1	18042 	41261 	43363 	41808 	49339 	43628 
CEP128	424 	542 	453 	681 	1661 	1527 
AP4S1	239 	295 	404 	377 	316 	305 
N6AMT1	1195 	1449 	2406 	1865 	1540 	1160 
ATG7	982 	1293 	1569 	1605 	915 	825 
HOMEZ	1459 	1458 	1939 	2058 	1170 	856 
AHI1	2485 	3154 	3473 	3978 	9941 	5612 
NAIP	103 	114 	172 	153 	200 	115 
LPIN3	1811 	2706 	3154 	3187 	1937 	1481 
R3HCC1L	640 	656 	757 	914 	1084 	985 
KCNH1	33 	25 	70 	41 	490 	1047 
ISL1	44 	61 	162 	75 	18423 	19877 
AMOT	3547 	4995 	5490 	6031 	2891 	3321 
OMA1	1475 	1085 	1809 	1808 	1206 	554 
TBC1D29	30 	58 	53 	62 	34 	23 
ARHGAP35	15077 	23549 	25992 	27285 	18480 	21129 
XK	510 	982 	831 	1053 	578 	417 
USP25	1579 	2283 	1987 	2728 	1816 	1638 
ADAM1A	1182 	1386 	1737 	1814 	1631 	1555 
SHANK2	4865 	8356 	7824 	9342 	1824 	824 
HEXA-AS1	40 	37 	42 	54 	30 	19 
TSNARE1	1322 	1786 	1895 	2196 	2062 	1516 
ASIC4	21 	9 	20 	21 	1150 	786 
GTF2IRD1	3736 	4210 	5071 	5617 	10418 	6806 
DNAH17	132 	229 	380 	256 	918 	497 
KRT222	77 	122 	203 	141 	96 	99 
ECHDC2	12723 	12509 	19313 	17843 	6717 	5493 
PKD1P6	538 	1477 	1284 	1426 	2226 	2215 
NFIB	8639 	7819 	7400 	11641 	2046 	2269 
NDRG2	2274 	2679 	3523 	3504 	1020 	1601 
PUM2	12491 	16502 	21148 	20518 	18165 	16617 
TRRAP	6593 	15340 	17056 	15523 	16559 	14818 
SPATC1	62 	128 	198 	134 	18 	13 
UPF2	3298 	4986 	4604 	5864 	3615 	4209 
RPL21P44	10 	11 	27 	15 	7 	9 
U2SURP	8889 	10457 	11949 	13695 	11061 	10127 
SLC46A1	1237 	2297 	3087 	2502 	928 	808 
KCNJ6	31 	11 	26 	29 	369 	580 
DYX1C1	175 	151 	146 	231 	236 	158 
IRF2BPL	5150 	7424 	8121 	8908 	9037 	13092 
FAM160B2	1857 	2192 	2504 	2869 	1964 	1776 
CMYA5	442 	497 	833 	665 	5380 	1715 
SRD5A3	3160 	2178 	1802 	3783 	1490 	1648 
RUSC2	1768 	2089 	2469 	2734 	309 	260 
FSBP	36 	48 	30 	59 	16 	33 
ENOX1-AS1	30 	20 	58 	35 	91 	114 
XIAP	4595 	5870 	6329 	7421 	5164 	5125 
ZNF217	9099 	16081 	15324 	17856 	1390 	892 
SLC37A3	5212 	5983 	6789 	7940 	4589 	4582 
MLLT6	23836 	48699 	50139 	51442 	31855 	28041 
TPTE2	22 	1 	25 	16 	8 	2 
STX17	1445 	3160 	2997 	3267 	1699 	1783 
FLNB-AS1	552 	1329 	1325 	1334 	274 	163 
AASDH	1032 	1274 	1612 	1636 	1099 	997 
ZNF836	640 	659 	763 	921 	731 	721 
LYPD1	26 	12 	32 	27 	26 	35 
ZNF333	1327 	1390 	1786 	1928 	2213 	2049 
LIAS	272 	241 	372 	365 	329 	286 
PLEKHA7	972 	1839 	1744 	1995 	2801 	2051 
B3GALNT2	1073 	3759 	4655 	3430 	1017 	1001 
OVOL1	405 	613 	567 	723 	241 	249 
CREBL2	2477 	2649 	3703 	3639 	1605 	1484 
ANKRD12	4509 	6075 	6446 	7513 	5984 	5497 
OR1J1	22 	27 	26 	35 	20 	18 
MROH1	1492 	2697 	2992 	2974 	2487 	1844 
C6ORF165	88 	49 	36 	97 	147 	112 
OXCT2P1	14 	24 	28 	27 	11 	5 
KIF2A	1661 	3008 	3021 	3316 	4650 	6081 
CRY2	1968 	2340 	2163 	3061 	678 	977 
P4HA1	8860 	4907 	11966 	9784 	7151 	5298 
MECP2	7479 	10706 	12927 	12925 	12418 	12793 
HPS5	498 	779 	869 	908 	968 	1039 
SLC9A8	3781 	4710 	5963 	6035 	3334 	3465 
AATK-AS1	16 	19 	29 	25 	21 	15 
OTUD1	502 	580 	732 	769 	812 	654 
NUP214	7101 	9896 	11436 	12090 	11169 	11555 
MLLT4	20318 	42229 	32963 	44492 	29989 	19776 
NUP98	3552 	6393 	7935 	7074 	5815 	6831 
GNRH1	183 	75 	122 	184 	194 	165 
CRB2	117 	91 	113 	148 	330 	131 
PLCD1	853 	1093 	1133 	1385 	242 	328 
BLNK	435 	213 	422 	461 	2 	5 
CDKN1A	3531 	1347 	770 	3472 	4222 	1843 
TFCP2L1	1298 	2517 	3241 	2716 	120 	107 
DENND1C	224 	674 	584 	639 	350 	388 
NOD1	330 	306 	404 	453 	219 	244 
TSPAN5	2626 	2204 	3151 	3441 	110 	50 
TPBG	1254 	918 	1068 	1548 	1482 	1113 
KLHL28	1534 	2397 	2212 	2802 	1626 	2572 
ATP8B5P	71 	30 	58 	72 	14 	6 
DISP1	870 	879 	1368 	1247 	621 	1043 
AP3B2	983 	1419 	1994 	1712 	3858 	3093 
WEE2-AS1	234 	200 	245 	310 	163 	127 
ITGB1	7959 	12269 	11364 	14422 	12229 	15895 
ZC3H12D	34 	32 	61 	48 	24 	31 
ZSWIM5	1001 	2040 	2356 	2168 	2964 	4175 
CYR61	1596 	1360 	1775 	2108 	326 	204 
RBBP5	1414 	1908 	2247 	2369 	2560 	2746 
ZNF284	265 	242 	364 	361 	221 	250 
SYNJ2	5367 	7652 	8313 	9285 	3154 	1846 
LRRC57	880 	1300 	1436 	1555 	1383 	1442 
MAPKAPK2	3391 	2055 	3099 	3886 	903 	902 
THBS3	2747 	2795 	4144 	3956 	8591 	5455 
GSTM4	759 	819 	1038 	1126 	364 	267 
TBL1XR1	19447 	36278 	27632 	39795 	27921 	25310 
ZNF568	832 	1472 	1692 	1646 	1400 	1637 
RRM2P3	47 	50 	37 	69 	298 	358 
TUBB8P7	4 	23 	23 	19 	4 	2 
ENC1	2915 	2704 	3611 	4016 	6779 	9666 
SLC25A48	31 	31 	69 	44 	265 	111 
ALDH5A1	1811 	3646 	2927 	3901 	1184 	1950 
CDH23	287 	438 	426 	518 	60977 	15541 
CATSPER3	31 	12 	37 	31 	75 	36 
GSTO2	1895 	2204 	3253 	2931 	1748 	1666 
PRKG2	58 	156 	146 	153 	1383 	1237 
PPARG	117 	305 	663 	302 	5 	2 
EPHX4	10 	107 	183 	84 	8 	14 
CTNNB1	13403 	22732 	30310 	25856 	22194 	30030 
ZNF623	2329 	4245 	4814 	4706 	5111 	6175 
SLC26A5	197 	377 	419 	411 	1443 	507 
ABI1	4650 	4919 	5621 	6851 	2569 	2389 
PIK3R3	3261 	2408 	3640 	4059 	10347 	14364 
ZNF737	877 	1434 	1571 	1655 	1139 	1924 
ATRX	8646 	10691 	11473 	13853 	8893 	9805 
LYSMD4	420 	452 	441 	625 	1424 	1443 
TMCO6	721 	863 	1217 	1135 	1130 	889 
PRDX3P1	29 	35 	40 	46 	83 	77 
SETD5	9915 	16782 	16380 	19133 	16459 	18901 
ZNF663P	265 	237 	351 	360 	210 	75 
LRRC37A4P	2708 	5551 	6203 	5920 	4711 	2692 
PIK3R4	1754 	3265 	3387 	3598 	1667 	3128 
RPGR	977 	582 	710 	1119 	2593 	1488 
ZNF641	1510 	2272 	2505 	2716 	1755 	1594 
TTLL3	4310 	6780 	8013 	7964 	5570 	3552 
PHTF1	1388 	1572 	1898 	2126 	2632 	1763 
RNASET2	1004 	836 	1425 	1323 	358 	200 
HDAC5	3489 	6251 	6407 	7000 	6195 	5500 
RBM48	669 	701 	816 	985 	719 	922 
ANKRD42	657 	716 	613 	987 	1446 	1021 
ZNF790	480 	693 	881 	844 	729 	758 
WWC3	2495 	2897 	3221 	3877 	2213 	2873 
SDHAP1	848 	1505 	1709 	1692 	1404 	1444 
NNT	3508 	6181 	8933 	6968 	6505 	6090 
FAM86C1	806 	645 	1115 	1044 	560 	438 
ATP7B	1052 	2106 	2110 	2272 	1480 	1583 
POFUT1	4711 	6303 	6675 	7923 	4338 	5555 
RPL5P4	61 	64 	82 	90 	46 	74 
FAM84B	6387 	10248 	14959 	11968 	1550 	1770 
ACBD4	1351 	1988 	2651 	2403 	626 	447 
APBB3	1367 	1448 	2421 	2026 	2062 	2001 
PTCHD1	252 	412 	368 	478 	24 	27 
RPRD1B	4870 	6416 	8731 	8124 	5746 	6170 
ITPRIP	164 	231 	193 	285 	837 	762 
ZNF444	5564 	4980 	7810 	7593 	5623 	4517 
DFNA5	605 	977 	1083 	1139 	25498 	17280 
CA2	16 	43 	219 	42 	5 	1 
STK36	7882 	9144 	10556 	12266 	7948 	4563 
RPS6KC1	1555 	2195 	2222 	2703 	1696 	1563 
OTUD7B	2749 	3724 	5016 	4664 	1138 	1685 
AIFM3	88 	227 	284 	227 	38 	47 
TMEM198B	2607 	3439 	5370 	4358 	1679 	1091 
MUC5B	26 	28 	34 	38 	772 	409 
URGCP	3601 	4746 	6609 	6018 	3503 	3278 
GPATCH2L	3356 	5735 	5236 	6555 	6925 	6292 
OR51E2	7555 	3733 	9856 	8140 	41 	3 
LRRC37A9P	136 	435 	477 	412 	1194 	582 
FAM66B	140 	192 	218 	239 	199 	165 
HCN3	516 	885 	1021 	1011 	2692 	2780 
CREBBP	13775 	22137 	25689 	25915 	18451 	25545 
CCDC134	84 	143 	175 	163 	308 	417 
PSPN	329 	202 	529 	383 	590 	454 
TTLL7	4314 	5502 	6206 	7085 	10200 	6879 
MYH11	502 	521 	575 	739 	820 	639 
RPAP2	2648 	2424 	4152 	3661 	4737 	3063 
VWA5B2	650 	1028 	1187 	1212 	2345 	1449 
TCEB1P19	44 	37 	65 	58 	42 	46 
KANK1	3412 	4649 	6654 	5822 	165 	101 
TRIM14	11295 	10788 	9826 	15950 	7405 	4736 
NR1D1	993 	2858 	1082 	2781 	339 	772 
TMEM140	667 	1464 	1348 	1539 	741 	1007 
ICA1L	3208 	3121 	4424 	4572 	7633 	3650 
RAVER2	1711 	3016 	2864 	3415 	9798 	7096 
NEDD4	1254 	1917 	2120 	2291 	285 	390 
RPGRIP1L	578 	739 	711 	951 	2730 	2008 
MAGOH2	50 	81 	118 	95 	21 	18 
FAM189A1	1004 	1317 	2028 	1677 	8 	11 
SQSTM1	10904 	11077 	11301 	15886 	4306 	3373 
MAST1	360 	577 	851 	677 	4897 	4010 
LONP2	3480 	5074 	7374 	6182 	2862 	2336 
NIN	3463 	4949 	5350 	6081 	17076 	10361 
KDM3B	7332 	13429 	13806 	15008 	11958 	14001 
IL12RB2	34 	30 	51 	46 	58 	134 
FXYD5	324 	417 	325 	536 	7 	6 
SLC25A36P1	18 	19 	32 	27 	14 	8 
ELL	1253 	1476 	1644 	1975 	1397 	1727 
CCDC88A	1641 	2522 	3491 	3012 	9464 	8923 
ZBTB44	5405 	7203 	8521 	9124 	6494 	6294 
ZMIZ1-AS1	517 	361 	633 	635 	96 	119 
ZNF548	855 	1047 	1298 	1377 	1141 	1490 
TRAPPC8	3852 	6198 	5982 	7276 	4692 	4599 
PRDM2	4585 	6862 	6770 	8290 	3839 	4784 
KIAA1109	5172 	10518 	10897 	11362 	10659 	6572 
SLC4A4	276 	200 	303 	345 	633 	1231 
RPA3-AS1	1154 	1289 	1564 	1770 	489 	554 
PPP1R15B	4605 	5379 	5605 	7234 	4682 	6924 
CSPP1	3359 	2614 	3218 	4330 	3853 	2392 
ZNF280B	553 	418 	613 	704 	771 	925 
DYNLL1-AS1	975 	850 	968 	1323 	2635 	1887 
ZNF296	289 	222 	313 	370 	621 	405 
MIB1	5120 	10214 	10509 	11120 	18633 	15073 
STON1	4880 	7552 	7537 	9017 	929 	871 
RCBTB1	1738 	2104 	3024 	2787 	2376 	2192 
LAMP1	3901 	4274 	6007 	5932 	4274 	3067 
KIAA0947	2779 	5623 	5358 	6096 	5887 	7985 
ERMP1	2044 	3717 	4779 	4180 	1081 	685 
ACOX1	5139 	12663 	13129 	12922 	2965 	3587 
BRAF	3994 	6659 	8208 	7733 	7625 	7890 
PDK2	1082 	2268 	2495 	2432 	996 	1109 
HAUS2	1050 	1478 	1742 	1836 	2644 	2827 
FAM208B	7139 	13469 	14207 	14974 	9033 	10433 
MFSD4	1332 	2002 	2943 	2422 	181 	304 
TBC1D30	281 	415 	554 	505 	2225 	2679 
AGBL4	160 	146 	222 	222 	640 	388 
BPHL	1550 	1565 	2291 	2264 	1203 	1117 
WNT4	1369 	1043 	723 	1754 	5471 	3757 
GATAD2B	5466 	7967 	10271 	9770 	7714 	11312 
C20orf194	1917 	2736 	3404 	3385 	2365 	1847 
CUL4B	3885 	5563 	6817 	6873 	6307 	5590 
ZNF354C	1127 	1737 	1942 	2084 	3250 	3365 
C15orf38	1929 	4508 	4813 	4683 	1554 	1196 
IFT122	3564 	4588 	4848 	5932 	6991 	8137 
XYLB	679 	946 	1330 	1183 	1791 	1494 
KMT2E	10916 	14548 	17732 	18532 	9833 	14032 
NBPF1	4960 	7985 	9820 	9421 	8406 	6923 
HEATR6	2540 	4553 	4703 	5163 	2501 	3135 
ARHGEF11	4809 	7351 	8407 	8852 	3458 	4523 
ATR	2054 	3532 	3649 	4067 	3416 	2980 
NTAN1P2	112 	57 	119 	123 	40 	28 
ZNF709	100 	56 	96 	114 	150 	160 
URB1	2522 	5301 	4724 	5698 	4639 	5409 
PITPNM1	808 	1454 	1639 	1648 	56 	99 
ZNF541	524 	255 	537 	568 	15 	11 
ABCA12	2924 	8131 	13166 	8055 	39 	37 
ITPRIPL2	2015 	5812 	6334 	5706 	524 	898 
GDPD3	202 	130 	243 	242 	267 	209 
BCL6B	30 	45 	43 	55 	67 	81 
ANKK1	573 	467 	469 	758 	36 	21 
LRRC3	157 	282 	253 	320 	260 	172 
SHROOM3	8416 	14801 	16631 	16931 	202 	106 
POLH	1222 	1909 	2027 	2284 	3091 	2843 
ANAPC1	1711 	3730 	3758 	3970 	3539 	4351 
CNOT1	6371 	14452 	13987 	15197 	13157 	17346 
ZBTB26	1419 	2447 	2703 	2822 	1841 	2453 
ADAT1	1023 	1431 	1990 	1791 	1142 	1382 
ANKIB1	4921 	10534 	12131 	11284 	4559 	4399 
NT5DC3	1739 	2991 	2067 	3454 	7429 	11079 
MRPS17	31 	43 	47 	54 	68 	72 
VPS13D	6602 	10700 	11816 	12639 	10170 	8458 
PLA2G4C	829 	490 	260 	963 	108 	112 
SCAPER	1457 	1915 	2419 	2464 	2119 	2029 
